instance,algorithm,variant,K,N,M,time_seconds,cost,num_influencers,covered_count,success,stdout_snippet
ninstance_407.txt,fb,macro,5,25,10,0.005046,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_407.txt,fb,macro,10,25,10,0.004562,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_407.txt,bt,todos,,25,10,0.006465,432,6,25,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Backtracking:
Influencers usados: 0 1 5 6 7 8
Costo total: 432"
ninstance_407.txt,bt,micro,5,25,10,0.004683,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_407.txt,bt,micro,10,25,10,0.005225,432,6,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Backtracking:
Influencers usados: 0 1 5 6 7 8
Costo total: 432"
ninstance_407.txt,bt,macro,5,25,10,0.005623,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_407.txt,bt,macro,10,25,10,0.004813,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_418.txt,fb,todos,,25,20,0.289106,337,5,25,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Fuerza Bruta:
Influencers usados: 0 1 3 14 17
Costo total: 337"
ninstance_418.txt,fb,micro,5,25,20,0.051834,406,11,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Fuerza Bruta:
Influencers usados: 0 2 3 4 5 6 7 8 9 13 14
Costo total: 406"
ninstance_418.txt,fb,micro,10,25,20,0.280410,337,5,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Fuerza Bruta:
Influencers usados: 0 1 3 14 17
Costo total: 337"
ninstance_418.txt,fb,macro,5,25,20,0.004730,389,4,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Fuerza Bruta:
Influencers usados: 0 1 2 3
Costo total: 389"
ninstance_418.txt,fb,macro,10,25,20,0.006349,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_418.txt,bt,todos,,25,20,0.272857,337,5,25,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Backtracking:
Influencers usados: 0 1 3 14 17
Costo total: 337"
ninstance_418.txt,bt,micro,5,25,20,0.040412,406,11,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Backtracking:
Influencers usados: 0 2 3 4 5 6 7 8 9 13 14
Costo total: 406"
ninstance_418.txt,bt,micro,10,25,20,0.271812,337,5,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Backtracking:
Influencers usados: 0 1 3 14 17
Costo total: 337"
